raceId,driverId,constructorId,positionText,positionOrder,points,rank
41,25,3,3,3,6.0,11
41,5,4,4,4,5.0,13
41,8,6,5,5,4.0,5
41,11,8,6,6,3.0,12
41,4,1,7,7,2.0,1
41,23,7,8,8,1.0,10
41,17,9,9,9,0.0,9
41,3,3,10,10,0.0,6
41,19,8,11,11,0.0,15
41,22,11,12,12,0.0,14
41,15,7,R,13,0.0,17
41,24,5,R,14,0.0,19
41,27,12,R,15,0.0,18
41,14,9,R,16,0.0,16
41,9,2,R,17,0.0,8
41,16,12,R,18,0.0,20
41,26,5,R,19,0.0,21
41,18,11,R,20,0.0,\N
41,13,6,D,21,0.0,4
41,21,4,D,22,0.0,7
42,1,1,1,1,10.0,2
42,4,1,2,2,8.0,3
42,13,6,3,3,6.0,4
42,8,6,4,4,5.0,1
42,5,4,5,5,4.0,7
42,15,7,6,6,3.0,10
42,17,9,7,7,2.0,8
42,20,2,8,8,1.0,6
42,21,4,9,9,0.0,9
42,25,3,10,10,0.0,13
42,19,8,11,11,0.0,12
42,18,11,12,12,0.0,14
42,26,5,13,13,0.0,16
42,16,12,14,14,0.0,15
42,27,12,15,15,0.0,18
42,3,3,16,16,0.0,11
42,24,5,17,17,0.0,17
42,2,2,R,18,0.0,5
42,11,8,R,19,0.0,19
42,14,9,R,20,0.0,\N
42,22,11,R,21,0.0,\N
42,23,7,R,22,0.0,\N
43,8,6,1,1,10.0,2
43,13,6,2,2,8.0,1
43,1,1,3,3,6.0,4
43,9,2,4,4,5.0,10
43,2,2,5,5,4.0,7
43,21,4,6,6,3.0,5
43,4,1,7,7,2.0,3
43,18,11,8,8,1.0,6
43,3,3,9,9,0.0,9
43,23,7,10,10,0.0,8
43,22,11,11,11,0.0,12
43,17,9,12,12,0.0,14
43,14,9,13,13,0.0,15
43,25,3,14,14,0.0,13
43,5,4,15,15,0.0,11
43,11,8,16,16,0.0,16
43,16,12,17,17,0.0,18
43,26,5,R,18,0.0,17
43,27,12,R,19,0.0,19
43,19,8,R,20,0.0,\N
43,15,7,R,21,0.0,\N
43,24,5,R,22,0.0,\N
44,8,6,1,1,10.0,1
44,4,1,2,2,8.0,3
44,1,1,3,3,6.0,4
44,9,2,4,4,5.0,6
44,13,6,5,5,4.0,2
44,2,2,6,6,3.0,5
44,5,4,7,7,2.0,9
44,21,4,8,8,1.0,7
44,22,11,9,9,0.0,13
44,18,11,10,10,0.0,16
44,14,9,11,11,0.0,12
44,3,3,12,12,0.0,11
44,25,3,13,13,0.0,10
44,11,8,14,14,0.0,14
44,27,12,15,15,0.0,21
44,24,5,16,16,0.0,17
44,15,7,R,17,0.0,18
44,19,8,R,18,0.0,20
44,26,5,R,19,0.0,15
44,23,7,R,20,0.0,8
44,16,12,R,21,0.0,22
44,17,9,R,22,0.0,19
45,4,1,1,1,10.0,2
45,13,6,2,2,8.0,1
45,17,9,3,3,6.0,8
45,25,3,4,4,5.0,5
45,14,9,5,5,4.0,6
45,2,2,6,6,3.0,7
45,9,2,7,7,2.0,9
45,5,4,8,8,1.0,11
45,1,1,9,9,0.0,3
45,21,4,10,10,0.0,12
45,22,11,11,11,0.0,14
45,19,8,12,12,0.0,13
45,15,7,13,13,0.0,10
45,8,6,R,14,0.0,4
45,11,8,R,15,0.0,16
45,23,7,R,16,0.0,15
45,28,12,R,17,0.0,17
45,18,11,R,18,0.0,18
45,16,12,R,19,0.0,19
45,3,3,R,20,0.0,20
45,26,5,R,21,0.0,21
45,24,5,R,22,0.0,22
46,1,1,1,1,10.0,2
46,8,6,2,2,8.0,1
46,2,2,3,3,6.0,5
46,4,1,4,4,5.0,3
46,9,2,5,5,4.0,4
46,23,7,6,6,3.0,9
46,3,3,7,7,2.0,6
46,5,4,8,8,1.0,8
46,17,9,9,9,0.0,7
46,15,7,10,10,0.0,12
46,14,9,11,11,0.0,14
46,21,4,12,12,0.0,15
46,13,6,13,13,0.0,11
46,25,3,14,14,0.0,13
46,11,8,15,15,0.0,10
46,20,5,16,16,0.0,16
46,16,12,17,17,0.0,19
46,22,11,18,18,0.0,17
46,24,5,R,19,0.0,20
46,19,8,R,20,0.0,18
46,18,11,R,21,0.0,21
46,29,12,R,22,0.0,22
47,13,6,1,1,10.0,2
47,8,6,2,2,8.0,1
47,4,1,3,3,6.0,4
47,2,2,4,4,5.0,5
47,1,1,5,5,4.0,3
47,5,4,6,6,3.0,7
47,3,3,7,7,2.0,6
47,9,2,8,8,1.0,11
47,21,4,9,9,0.0,9
47,14,9,10,10,0.0,13
47,25,3,11,11,0.0,8
47,23,7,12,12,0.0,12
47,18,11,13,13,0.0,10
47,19,8,14,14,0.0,17
47,24,5,15,15,0.0,16
47,15,7,16,16,0.0,14
47,22,11,17,17,0.0,15
47,11,8,18,18,0.0,18
47,20,5,19,19,0.0,19
47,29,12,20,20,0.0,22
47,16,12,21,21,0.0,20
47,17,9,R,22,0.0,21
48,4,1,1,1,10.0,1
48,1,1,2,2,8.0,2
48,8,6,3,3,6.0,3
48,2,2,4,4,5.0,4
48,9,2,5,5,4.0,5
48,3,3,6,6,3.0,8
48,5,4,7,7,2.0,7
48,18,11,8,8,1.0,9
48,17,9,9,9,0.0,13
48,22,11,10,10,0.0,12
48,15,7,11,11,0.0,10
48,21,4,12,12,0.0,14
48,25,3,13,13,0.0,16
48,19,8,14,14,0.0,17
48,23,7,15,15,0.0,15
48,11,8,16,16,0.0,11
48,24,5,17,17,0.0,19
48,20,5,18,18,0.0,18
48,16,12,19,19,0.0,20
48,29,12,20,20,0.0,21
48,13,6,R,21,0.0,6
48,14,9,R,22,0.0,\N
49,8,6,1,1,10.0,2
49,13,6,2,2,8.0,1
49,4,1,3,3,6.0,3
49,1,1,4,4,5.0,4
49,2,2,5,5,4.0,5
49,3,3,6,6,3.0,9
49,17,9,7,7,2.0,11
49,5,4,8,8,1.0,8
49,9,2,9,9,0.0,6
49,23,7,10,10,0.0,10
49,15,7,11,11,0.0,7
49,24,5,12,12,0.0,13
49,22,11,13,13,0.0,12
49,16,12,14,14,0.0,15
49,11,8,15,15,0.0,14
49,19,8,16,16,0.0,19
49,29,12,17,17,0.0,20
49,18,11,R,18,0.0,16
49,25,3,R,19,0.0,18
49,14,9,R,20,0.0,17
49,20,5,R,21,0.0,21
49,21,4,R,22,0.0,\N
50,1,1,1,1,10.0,1
50,5,4,2,2,8.0,9
50,8,6,3,3,6.0,8
50,14,9,4,4,5.0,11
50,21,4,5,5,4.0,12
50,13,6,6,6,3.0,7
50,9,2,7,7,2.0,4
50,16,12,8,8,1.0,18
50,24,5,9,9,0.0,13
50,22,11,10,10,0.0,15
50,18,11,11,11,0.0,19
50,29,12,12,12,0.0,20
50,15,7,13,13,0.0,21
50,2,2,14,14,0.0,6
50,11,8,15,15,0.0,16
50,23,7,R,16,0.0,14
50,19,8,R,17,0.0,17
50,3,3,R,18,0.0,10
50,20,5,R,19,0.0,5
50,17,9,R,20,0.0,3
50,4,1,R,21,0.0,2
50,25,3,R,22,0.0,22
51,8,6,1,1,10.0,3
51,4,1,2,2,8.0,2
51,13,6,3,3,6.0,1
51,20,5,4,4,5.0,13
51,18,11,5,5,4.0,5
51,24,5,6,6,3.0,11
51,2,2,7,7,2.0,7
51,14,9,8,8,1.0,10
51,5,4,9,9,0.0,8
51,17,9,10,10,0.0,9
51,21,4,11,11,0.0,4
51,25,3,12,12,0.0,12
51,15,7,13,13,0.0,14
51,11,8,14,14,0.0,15
51,22,11,15,15,0.0,16
51,3,3,16,16,0.0,6
51,29,12,17,17,0.0,17
51,9,2,R,18,0.0,18
51,1,1,R,19,0.0,19
51,23,7,R,20,0.0,20
51,16,12,R,21,0.0,21
51,19,8,R,22,0.0,22
52,8,6,1,1,10.0,1
52,13,6,2,2,8.0,3
52,4,1,3,3,6.0,6
52,3,3,4,4,5.0,7
52,9,2,5,5,4.0,4
52,2,2,6,6,3.0,10
52,1,1,7,7,2.0,2
52,15,7,8,8,1.0,8
52,14,9,9,9,0.0,13
52,6,3,10,10,0.0,5
52,23,7,11,11,0.0,9
52,11,8,12,12,0.0,19
52,24,5,13,13,0.0,11
52,19,8,14,14,0.0,14
52,16,12,R,15,0.0,20
52,22,11,R,16,0.0,17
52,5,4,R,17,0.0,18
52,20,5,R,18,0.0,16
52,18,11,R,19,0.0,12
52,17,9,R,20,0.0,15
52,29,12,R,21,0.0,21
52,21,4,R,22,0.0,22
53,4,4,1,1,10.0,3
53,30,6,2,2,8.0,2
53,8,1,3,3,6.0,8
53,18,11,4,4,5.0,5
53,31,1,5,5,4.0,7
53,17,3,6,6,3.0,4
53,3,3,7,7,2.0,1
53,32,9,8,8,1.0,10
53,13,6,9,9,0.0,6
53,14,9,10,10,0.0,11
53,24,5,11,11,0.0,12
53,2,2,12,12,0.0,14
53,26,5,13,13,0.0,9
53,23,7,14,14,0.0,16
53,22,11,15,15,0.0,15
53,15,7,16,16,0.0,18
53,33,13,17,17,0.0,19
53,11,8,18,18,0.0,20
53,34,8,R,19,0.0,21
53,35,2,R,20,0.0,13
53,21,4,R,21,0.0,17
53,27,13,R,22,0.0,\N
54,21,4,1,1,10.0,2
54,4,4,2,2,8.0,1
54,18,11,3,3,6.0,4
54,31,1,4,4,5.0,3
54,13,6,5,5,4.0,8
54,30,6,6,6,3.0,5
54,35,2,7,7,2.0,9
54,23,7,8,8,1.0,6
54,15,7,9,9,0.0,11
54,22,11,10,10,0.0,10
54,24,5,11,11,0.0,16
54,27,13,12,12,0.0,18
54,33,13,13,13,0.0,19
54,11,8,14,14,0.0,20
54,2,2,R,15,0.0,7
54,26,5,R,16,0.0,14
54,34,8,R,17,0.0,21
54,32,9,R,18,0.0,13
54,17,3,R,19,0.0,12
54,14,9,R,20,0.0,17
54,3,3,R,21,0.0,15
54,8,1,R,22,0.0,\N
55,4,4,1,1,10.0,2
55,8,1,2,2,8.0,1
55,23,7,3,3,6.0,10
55,2,2,4,4,5.0,7
55,21,4,5,5,4.0,5
55,35,2,6,6,3.0,13
55,22,11,7,7,2.0,6
55,14,9,8,8,1.0,12
55,26,5,9,9,0.0,14
55,18,11,10,10,0.0,8
55,27,13,11,11,0.0,15
55,11,8,12,12,0.0,17
55,34,8,13,13,0.0,18
55,31,1,R,14,0.0,4
55,33,13,R,15,0.0,16
55,24,5,R,16,0.0,11
55,30,6,R,17,0.0,3
55,17,3,R,18,0.0,9
55,32,9,R,19,0.0,19
55,15,7,R,20,0.0,\N
55,3,3,R,21,0.0,\N
55,13,6,R,22,0.0,\N
56,30,6,1,1,10.0,2
56,4,4,2,2,8.0,1
56,31,1,3,3,6.0,4
56,13,6,4,4,5.0,10
56,8,1,5,5,4.0,3
56,17,3,6,6,3.0,9
56,18,11,7,7,2.0,6
56,21,4,8,8,1.0,7
56,23,7,9,9,0.0,5
56,22,11,10,10,0.0,13
56,3,3,11,11,0.0,15
56,35,2,12,12,0.0,8
56,2,2,13,13,0.0,12
56,24,5,14,14,0.0,11
56,26,5,15,15,0.0,14
56,33,13,16,16,0.0,18
56,14,9,R,17,0.0,17
56,11,8,R,18,0.0,20
56,32,9,R,19,0.0,16
56,34,8,R,20,0.0,21
56,15,7,R,21,0.0,19
56,27,13,R,22,0.0,\N
57,30,6,1,1,10.0,1
57,4,4,2,2,8.0,3
57,13,6,3,3,6.0,5
57,8,1,4,4,5.0,2
57,22,11,5,5,4.0,9
57,21,4,6,6,3.0,4
57,3,3,7,7,2.0,7
57,35,2,8,8,1.0,12
57,15,7,9,9,0.0,10
57,2,2,10,10,0.0,11
57,26,5,11,11,0.0,14
57,33,13,12,12,0.0,18
57,27,13,13,13,0.0,17
57,23,7,R,14,0.0,8
57,31,1,R,15,0.0,6
57,11,8,R,16,0.0,19
57,36,8,R,17,0.0,20
57,18,11,R,18,0.0,13
57,32,9,R,19,0.0,15
57,17,3,R,20,0.0,16
57,14,9,R,21,0.0,21
57,24,5,R,22,0.0,\N
58,4,4,1,1,10.0,2
58,30,6,2,2,8.0,3
58,21,4,3,3,6.0,4
58,13,6,4,4,5.0,1
58,8,1,5,5,4.0,5
58,18,11,6,6,3.0,6
58,22,11,7,7,2.0,7
58,2,2,8,8,1.0,10
58,17,3,9,9,0.0,11
58,15,7,10,10,0.0,13
58,3,3,11,11,0.0,8
